Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
462498269,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Hotel,0,Sep-22
345186436,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,House,45,Sep-22
682732650,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Land,87,Sep-22
717499466,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Office,4,Sep-22
912152889,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Prohibited Places,2,Sep-22
127558473,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Religious Place,1,Sep-22
687410808,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Restricted Area,1,Sep-22
781570549,CRIMINAL TRESPASS ,Sec.447 to 452 IPC,Others,18,Sep-22
688635277,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Others,nan,Sep-22
194163351,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Husband,69,Sep-22
922853970,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Husband And Relative(S) in Law,112,Sep-22
334969207,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Relative(S) in Law,1,Sep-22
144133378,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Dowry Harassment,51,Sep-22
590042880,CRUELTY BY HUSBAND ,Sec. 498(A) IPC,Prevention of Gaming,0,Sep-22
418988414,DOWRY DEATHS ,Sec.304(B) IPC,Others,nan,Sep-22
145402961,DOWRY DEATHS ,Sec.304(B) IPC,By Husband,2,Sep-22
677929728,DOWRY DEATHS ,Sec.304(B) IPC,By Husband And Relatives In Law,2,Sep-22
377279142,DOWRY DEATHS ,Sec.304(B) IPC,By Relatives in Law,0,Sep-22
594101908,DOWRY DEATHS ,Sec.304(B) IPC,By Burning,0,Sep-22
819749528,DOWRY DEATHS ,Sec.304(B) IPC,By Hanging,5,Sep-22
877399499,DOWRY DEATHS ,Sec.304(B) IPC,By Other Means,0,Sep-22
244838808,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Others,nan,Sep-22
498782708,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Electrocution,3,Sep-22
844385778,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Adulterated Food/Drug,0,Sep-22
449769140,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Accident by Air,0,Sep-22
409671171,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Boad Accident,0,Sep-22
858558569,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Bridge/Dam Collapse,0,Sep-22
959257612,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Building Collapse,1,Sep-22
788900678,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Caused By Animal,0,Sep-22
929345597,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Death Due to Other Cause,8,Sep-22
145856396,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Electrocution Accident,6,Sep-22
300945155,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Explosion Accident,0,Sep-22
386146279,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Fire accident,0,Sep-22
823776060,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Gas Leakage Accident,0,Sep-22
517655746,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Improper Infrastucture In Construction,6,Sep-22
744300558,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Improper Medical Treatment,1,Sep-22
975203507,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,In Custody of Public Servant,0,Sep-22
851674520,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,In Jail/Judicial Custody,0,Sep-22
876936137,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,In Police Custody,0,Sep-22
394385436,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Industrial Accident (Factory),0,Sep-22
408429566,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Inflammable Substance,0,Sep-22
407659849,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Mine Accident,0,Sep-22
631117893,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Poisonous Substance,0,Sep-22
567287253,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Quarry Accident,0,Sep-22
150036583,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Spurious Liquor (Hooch) Accident,0,Sep-22
170330382,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Railway Accident,0,Sep-22
542239149,"DEATHS DUE TO RASHNESS/NEGLIGENCE
",Sec.304(A) IPC,Others,3,Sep-22
632530153,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,Others,nan,Sep-22
756478975,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,National Highways,241,Sep-22
843340674,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,State Highways,193,Sep-22
901816018,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,Other Roads,267,Sep-22
487737227,"MOTOR VEHICLE ACCIDENTS FATAL
",Sec.304(A) IPC,Other Places,16,Sep-22
304118433,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",Others,nan,Sep-22
717691576,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",National Highways,731,Sep-22
344099273,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",State Highways,504,Sep-22
439107248,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",Other Roads,987,Sep-22
564347606,"MOTOR VEHICLE ACCIDENTS NON-FATAL
","Sec.279, 337, 338 IPC",Other Places,34,Sep-22
979591152,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Others,nan,Sep-22
209323811,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Child,2,Sep-22
649004394,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Woman,2,Sep-22
197546267,DEATHS-MISCARRIAGE ,"Sec.312, 313, 314 IPC",Women and Child,0,Sep-22
160075790,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Others,nan,Sep-22
884767906,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Air Force,0,Sep-22
624472430,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Army,0,Sep-22
355818030,DEFENCE FORCES OFFENCES RELATING ,"also
relating to desertion) (Sec.131 to 140, except
136 IPC",Navy,0,Sep-22
302372831,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",Others,nan,Sep-22
695219624,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",From Jail Custody,0,Sep-22
473594515,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",From Police Custody,1,Sep-22
283194594,"ESCAPE FROM LAWFUL CUSTODY AND
RESISTANCE ","Sec.224, 225, 225(B) IPC",Others,0,Sep-22
550701949,IMPERSONATION ,"Sec.170, 171 IPC",Others,nan,Sep-22
470960951,IMPERSONATION ,"Sec.170, 171 IPC",Attempt to Commit,0,Sep-22
222576999,IMPERSONATION ,"Sec.170, 171 IPC",Non-Uniformed Authority,0,Sep-22
698593195,IMPERSONATION ,"Sec.170, 171 IPC",Uniformed Authority,0,Sep-22
535939902,MISCHIEF ,"Sec.427 to 440 except 434, 435,
436, 438 IPC",Others,46,Sep-22
446111994,MOLESTATION ,Sec.354 IPC,Others,nan,Sep-22
892936388,MOLESTATION ,Sec.354 IPC,Attempt to Commit,10,Sep-22
831796104,MOLESTATION ,Sec.354 IPC,Private Place,84,Sep-22
995542868,MOLESTATION ,Sec.354 IPC,Public Conveyance,2,Sep-22
394443591,MOLESTATION ,Sec.354 IPC,Public Place,203,Sep-22
526848261,MOLESTATION ,Sec.354 IPC,Other Places,204,Sep-22
134937983,POISONING-PROFESSIONAL ,Sec. 328 IPC,Others,nan,Sep-22
799225039,POISONING-PROFESSIONAL ,Sec. 328 IPC,Attempt to Commit,1,Sep-22
217522141,POISONING-PROFESSIONAL ,Sec. 328 IPC,Fatal,0,Sep-22
327765129,POISONING-PROFESSIONAL ,Sec. 328 IPC,Non Fatal,0,Sep-22
268955223,PORNOGRAPHY ,Sec.292 to 294 IPC,Others,nan,Sep-22
292869433,PORNOGRAPHY ,Sec.292 to 294 IPC,Advertisement,0,Sep-22
858710752,PORNOGRAPHY ,Sec.292 to 294 IPC,Audio Tape,0,Sep-22
641670349,PORNOGRAPHY ,Sec.292 to 294 IPC,Book,0,Sep-22
174146936,PORNOGRAPHY ,Sec.292 to 294 IPC,Computer Software,0,Sep-22
291868546,PORNOGRAPHY ,Sec.292 to 294 IPC,Figures,0,Sep-22
203730436,PORNOGRAPHY ,Sec.292 to 294 IPC,Film (Blue),0,Sep-22
339285371,PORNOGRAPHY ,Sec.292 to 294 IPC,Painting,0,Sep-22
588324780,PORNOGRAPHY ,Sec.292 to 294 IPC,Pamphlet,0,Sep-22
405128395,PORNOGRAPHY ,Sec.292 to 294 IPC,Paper,0,Sep-22
860814104,PORNOGRAPHY ,Sec.292 to 294 IPC,Photography,0,Sep-22
137324210,PORNOGRAPHY ,Sec.292 to 294 IPC,Poster,0,Sep-22
255964115,PORNOGRAPHY ,Sec.292 to 294 IPC,Video Film(Blue),0,Sep-22
449270477,PORNOGRAPHY ,Sec.292 to 294 IPC,Others,0,Sep-22
750134877,PUBLIC JUSTICE ,Sec.213 to 215 IPC,Others,1,Sep-22
567007221,PUBLIC NUISANCE ,Sec.291 and 510 IPC,Others,51,Sep-22
374818826,PUBLIC SAFETY ,"Sec.269 to 271, 277, 283, 289
IPC",Others,316,Sep-22
322541433,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Others,nan,Sep-22
163728459,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Attempt to Commit,0,Sep-22
357138008,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Defence Personnel,0,Sep-22
592055510,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Jail Personnel,1,Sep-22
998470783,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Judicial Official,3,Sep-22
452826773,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Minister,0,Sep-22
510634777,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",MLA,0,Sep-22
712415057,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",MP,0,Sep-22
165165165,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Nationalised Bank Personnel,1,Sep-22
442861114,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Elected Member,0,Sep-22
234811188,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Enforcement Official,1,Sep-22
404130771,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Other Govt. Official,40,Sep-22
761220949,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Para Military Personnel,0,Sep-22
378150422,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Police Personnel,32,Sep-22
647137826,OFFENCES AGAINST PUBLIC SERVANTS ,"Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC",Public Sector Undertaking Official,10,Sep-22
391284108,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Others,nan,Sep-22
715890897,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Defence Personnel,0,Sep-22
900799393,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Jail Personnel,0,Sep-22
171545515,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Judicial Official,0,Sep-22
124198542,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Minister,0,Sep-22
173904790,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",MLA,0,Sep-22
887732939,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",MP,0,Sep-22
736132976,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Nationalised Bank Personnel,0,Sep-22
238999742,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Elected Member,0,Sep-22
721689144,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Enforcement Official,0,Sep-22
811767929,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Other Govt. Official,0,Sep-22
885760903,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Para Military Personnel,0,Sep-22
408365121,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Police Personnel,0,Sep-22
210516839,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Public Sector Undertaking Official,0,Sep-22
573353095,OFFENCES BY PUBLIC SERVANTS ,"EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 139, 167, 218, 221, 222 IPC",Others,1,Sep-22
451408613,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Others,nan,Sep-22
594218510,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Death Causeed By Electric Shock,8,Sep-22
873590375,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Animal -Related,2,Sep-22
327645501,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Boat/Vessel - Related,0,Sep-22
255973365,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Explosive/Explosive Substances - Related,1,Sep-22
960723208,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Inflammable Substance- Related,0,Sep-22
974398385,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Machinery - Related,8,Sep-22
194005160,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Poisonous Substance - Related,1,Sep-22
208371051,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Other - Related,61,Sep-22
705313619,NEGLIGENT ACT ,"Sec.280 to 289, 336 to 338
except 283 IPC",Human - Related,12,Sep-22
287693325,RECEIVING OF STOLEN PROPERTY ,"Sec.411 to
414 IPC",Others,0,Sep-22
395230496,SEDITION ,Sec. 124A IPC,Others,nan,Sep-22
959781858,SEDITION ,Sec. 124A IPC,Attempt to Commit,0,Sep-22
947380295,SEDITION ,Sec. 124A IPC,By Foreigner,0,Sep-22
678640956,SEDITION ,Sec. 124A IPC,By National,0,Sep-22
220555846,SEDITION ,Sec. 124A IPC,By National And Foreigner,0,Sep-22
471885224,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Others,nan,Sep-22
946560187,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Attempt to Commit,0,Sep-22
602350949,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Office,1,Sep-22
187225495,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Public Conveyance,0,Sep-22
372756767,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Public Place,3,Sep-22
758486832,INSULTING MODESTY OF WOMEN ,"EVE
TEASING) (Sec.509 IPC",Other Places,3,Sep-22
468813133,SUICIDE ,"Sec.305, 306, 309 IPC",Others,nan,Sep-22
388021470,SUICIDE ,"Sec.305, 306, 309 IPC",Dowry,3,Sep-22
880619281,SUICIDE ,"Sec.305, 306, 309 IPC",Abetment of Suicide,34,Sep-22
984578304,SUICIDE ,"Sec.305, 306, 309 IPC",Other Reasons,24,Sep-22
847488355,SUICIDE ,"Sec.305, 306, 309 IPC",Attempt to Commit suicide,11,Sep-22
884357601,UNNATURAL SEX ,Sec.377 IPC,Others,nan,Sep-22
672789240,UNNATURAL SEX ,Sec.377 IPC,Abetment,0,Sep-22
791513476,UNNATURAL SEX ,Sec.377 IPC,Animal,0,Sep-22
372177320,UNNATURAL SEX ,Sec.377 IPC,Attempt,0,Sep-22
765740125,UNNATURAL SEX ,Sec.377 IPC,Major - Man,0,Sep-22
316230442,UNNATURAL SEX ,Sec.377 IPC,Major - Woman,0,Sep-22
696003684,UNNATURAL SEX ,Sec.377 IPC,Minor - Boy,1,Sep-22
406927510,UNNATURAL SEX ,Sec.377 IPC,Minor - Girl,0,Sep-22
157678234,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,Others,nan,Sep-22
959769812,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,Attempt to Commit,2,Sep-22
617364996,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,To Extort Confession,1,Sep-22
691276650,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,To Extort Property,1,Sep-22
937041685,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,To settle Dispute,3,Sep-22
978115634,"WRONGFUL RESTRAINT/CONFINEMENT
",Sec.341 to 348 IPC,Others,22,Sep-22
360511314,INFANTICIDE ,"Sec.315, 316 IPC",Others,nan,Sep-22
525918410,INFANTICIDE ,"Sec.315, 316 IPC",Male,0,Sep-22
635522509,INFANTICIDE ,"Sec.315, 316 IPC",Female,0,Sep-22
580091989,OFFENCES RELATED TO MARRIAGE ,"Sec.493 to
498 IPC",Others,3,Sep-22
664713074,"BUYING & SELLING MINOR FOR PROSTITUTION
","Sec.372, 373 IPC",Others,0,Sep-22
819204966,DOCUMENTS & PROPERTY MARKS ,"Sec.483 to
489 IPC",Others,nan,Sep-22
855694237,DOCUMENTS & PROPERTY MARKS ,"Sec.483 to
489 IPC",Documents,0,Sep-22
943464021,DOCUMENTS & PROPERTY MARKS ,"Sec.483 to
489 IPC",Property,0,Sep-22
393468872,DEFAMATION ,Sec.500 to 502 IPC,Others,nan,Sep-22
301270735,DEFAMATION ,Sec.500 to 502 IPC,Persons,1,Sep-22
501036451,DEFAMATION ,Sec.500 to 502 IPC,Printed Matter,0,Sep-22
983291352,DEFAMATION ,Sec.500 to 502 IPC,Others,0,Sep-22
887705641,ELECTION,Sec.171(E) to 171(1) IPC,Others,nan,Sep-22
704029796,ELECTION,Sec.171(E) to 171(1) IPC,Assembly,0,Sep-22
262618604,ELECTION,Sec.171(E) to 171(1) IPC,Parliament,0,Sep-22
296280874,ELECTION,Sec.171(E) to 171(1) IPC,Other Elected Bodies,0,Sep-22
812859974,SLAVERY ,"Sec.370, 371, 374 IPC",Others,nan,Sep-22
203698211,SLAVERY ,"Sec.370, 371, 374 IPC",Man,0,Sep-22
155644296,SLAVERY ,"Sec.370, 371, 374 IPC",Woman,0,Sep-22
900142404,SLAVERY ,"Sec.370, 371, 374 IPC",Boy,0,Sep-22
836013781,SLAVERY ,"Sec.370, 371, 374 IPC",Girl,0,Sep-22
306575050,Attempting to commit offences ,Sec.511 IPC,Others,nan,Sep-22
692150508,Attempting to commit offences ,Sec.511 IPC,Attempting to commit offences,26,Sep-22
297734830,ILLEGAL DETENTION ,Sec.342 IPC,Others,0,Sep-22
124001876,FALSE EVIDENCE ,Sec.191 to 205 IPC,Others,1,Sep-22
195658770,"EXPOSURE AND ABANDONMENT OF CHILD
",Sec.317 IPC,Others,nan,Sep-22
512487995,"EXPOSURE AND ABANDONMENT OF CHILD
",Sec.317 IPC,Boy,2,Sep-22
316014572,"EXPOSURE AND ABANDONMENT OF CHILD
",Sec.317 IPC,Girl,4,Sep-22
637322168,OF ABETMENT ,Sec.107 to 120 IPC,Others,1,Sep-22
776261731,FAILURE TO APPEAR TO COURT ,"Sec.174, 229A
IPC",Others,nan,Sep-22
379316550,FAILURE TO APPEAR TO COURT ,"Sec.174, 229A
IPC",174 A,7,Sep-22
288988627,FAILURE TO APPEAR TO COURT ,"Sec.174, 229A
IPC",229 A,18,Sep-22
479666249,Concealment of birth by secret disposal of Child,,Others,nan,Sep-22
656074492,Concealment of birth by secret disposal of Child,,Girl,0,Sep-22
607038090,Concealment of birth by secret disposal of Child,,Boy,0,Sep-22
424968868,"ASSAULT OR USE OF CRIMINAL FORCE TO
DISROBE WOMEN",,Others,2,Sep-22
319177700,"Disobedience to Order Promulgated by
Public/Servant",,Others,nan,Sep-22
696372227,"Disobedience to Order Promulgated by
Public/Servant",,By Others,22,Sep-22
749751666,"Disobedience to Order Promulgated by
Public/Servant",,By Private Institution,0,Sep-22
656922778,"Disobedience to Order Promulgated by
Public/Servant",,By Govt. Institution,3,Sep-22
943873891,Human Trafficking,,Others,nan,Sep-22
118359828,Human Trafficking,,Eunuch,0,Sep-22
593851968,Human Trafficking,,Men,0,Sep-22
107067519,Human Trafficking,,Boy,0,Sep-22
543247867,Human Trafficking,,Women,1,Sep-22
786163606,Human Trafficking,,Girl,1,Sep-22
584317535,Aadhaar Act,,Others,nan,Sep-22
988262400,Aadhaar Act,,Impersonation,0,Sep-22
169303292,Aadhaar Act,,Offence by Company,0,Sep-22
833074256,Aadhaar Act,,Offence by individual,0,Sep-22
280665516,"Giving false information respecting an offence
com",,Others,nan,Sep-22
685229184,"Giving false information respecting an offence
com",,"Giving false information respecting an offencecommitted",1,Sep-22
105224881,ANTIQUES ,CULTURAL PROPERTY,Others,nan,Sep-22
936720221,ANTIQUES ,CULTURAL PROPERTY,Antiques & Art Treasures Act 1972,0,Sep-22
581339913,ANTIQUES ,CULTURAL PROPERTY,"Ancient Monument & Archaelogical Sites AndRemains Act 1958",1,Sep-22
978193345,ARMS ACT 1959,,Others,nan,Sep-22
754410133,ARMS ACT 1959,,"Country Made - Non Prohibited Bore - In DisturbedArea",2,Sep-22
145209629,ARMS ACT 1959,,"Country Made - Non Prohibited Bore - In OtherArea",8,Sep-22
421618926,ARMS ACT 1959,,"Country Made - Prohibited Bore - In DisturbedArea",0,Sep-22
355690060,ARMS ACT 1959,,Country Made - Prohibited Bore - In Other Area,9,Sep-22
737548359,ARMS ACT 1959,,"Factory Made - Non Prohibited Bore - In DisturbedArea",0,Sep-22
511789906,ARMS ACT 1959,,Factory Made - Non Prohibited Bore - In Other Area,6,Sep-22
148485619,ARMS ACT 1959,,Factory Made - Prohibited Bore - In Disturbed Area,1,Sep-22
130678893,ARMS ACT 1959,,Factory Made - Prohibited Bore - In Other Area,1,Sep-22
187705651,ANIMAL,,Others,nan,Sep-22
838020834,ANIMAL,,"The Karnataka Prevention of Slaughter andPreservation of Cattle Ordinance 2020",21,Sep-22
973194014,ANIMAL,,Wild Life Preservation Act 1972,0,Sep-22
325571309,ANIMAL,,Wild Life Protection Act 1972,0,Sep-22
828906038,ANIMAL,,Prevention of Cruelty to Animals Act 1960,21,Sep-22
229434664,ANIMAL,,Elephant (Preservation) Act 1879,0,Sep-22
641644604,ANIMAL,,Cattle Tresspass Act 1871,1,Sep-22
563790126,CINEMATOGRAPHY ACT 1952,,Others,nan,Sep-22
394244952,CINEMATOGRAPHY ACT 1952,,Films,0,Sep-22
426489734,CINEMATOGRAPHY ACT 1952,,Video,0,Sep-22
834002634,CONSUMER,,Others,nan,Sep-22
805914020,CONSUMER,,"Liquified Petroleum Gas Supply & Control Order2000",9,Sep-22
691012397,CONSUMER,,Consumer (Protection) Act 1986,0,Sep-22
674856207,CONSUMER,,Essential Commodities Act 1955,57,Sep-22
721039670,CONSUMER,,Prevention of Food Adulternation Act 1954,1,Sep-22
245122669,CONSUMER,,Packaged Commodities (Regulation) order 1975,0,Sep-22
321423866,COPY RIGHT ACT 1957,,Others,nan,Sep-22
283931902,COPY RIGHT ACT 1957,,By Company,15,Sep-22
248045828,COPY RIGHT ACT 1957,,By Individual,8,Sep-22
496336150,CIVIL RIGHTS,,Others,nan,Sep-22
618228077,CIVIL RIGHTS,,Protection of Civil Rights Act 1955,2,Sep-22
591604639,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Others,nan,Sep-22
588051573,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Caste,108,Sep-22
713111151,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Tribes,14,Sep-22
703514550,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Caste Women,34,Sep-22
139011455,"SCHEDULED CASTE AND THE SCHEDULED
TRIBES",,Scheduled Tribes Women,8,Sep-22
559226202,CHILDREN ACT,,Others,nan,Sep-22
149057962,CHILDREN ACT,,Child Labour (Prohibition & Regulation) Act1986,2,Sep-22
193803681,CHILDREN ACT,,Child Marriage (Restraint) Act - 1929,17,Sep-22
518761073,CHILDREN ACT,,Juvenile Justice Act 1986,12,Sep-22
702108591,CHILDREN ACT,,Probation of offenders Act 1958,0,Sep-22
111314524,CHILDREN ACT,,"Protection of Children from Sexual Offences Act2012 (POCSO)",0,Sep-22
678294532,PREVENTION OF CORRUPTION ACT 1988,,Others,nan,Sep-22
494555287,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Elected,0,Sep-22
675248585,PREVENTION OF CORRUPTION ACT 1988,,Public Servant - Gazetted - Central,0,Sep-22
